iter	Logloss
0	0.6817288607
1	0.6717170041
2	0.6614504329
3	0.6528468254
4	0.6436037756
5	0.6341359717
6	0.6245108865
7	0.6152498883
8	0.6070197267
9	0.5980574667
10	0.5876660559
11	0.5787313954
12	0.5707265768
13	0.5622640164
14	0.5552885609
15	0.5473782245
16	0.538413841
17	0.5313167479
18	0.5238047926
19	0.5149027039
20	0.5080102754
21	0.5014039771
22	0.4951639476
23	0.489339102
24	0.482977478
25	0.4772812458
26	0.4692626681
27	0.4619891921
28	0.455235352
29	0.4492660877
30	0.4439278717
31	0.436782023
32	0.4306741777
33	0.425390653
34	0.4191626971
35	0.4143071496
36	0.4072781624
37	0.4010853382
38	0.3949775238
39	0.3892435642
40	0.3846292024
41	0.3789501976
42	0.3742385864
43	0.3691576606
44	0.3643599942
45	0.3594496665
46	0.3549475626
47	0.3495488938
48	0.3446821591
49	0.340814959
50	0.3359932671
51	0.331937789
52	0.3279335619
53	0.324015749
54	0.3199389764
55	0.3149440932
56	0.3117768312
57	0.3075375009
58	0.3033192017
59	0.2987372713
60	0.2947009922
61	0.2906288575
62	0.2875077532
63	0.2835991077
64	0.2804268423
65	0.2775170882
66	0.2737207856
67	0.2711847089
68	0.2682266968
69	0.2645151879
70	0.2612510754
71	0.2576638132
72	0.2544895543
73	0.251871111
74	0.2487653867
75	0.2461037263
76	0.2433898991
77	0.2410163577
78	0.238342728
79	0.2363666905
80	0.2334473255
81	0.23077372
82	0.2285948184
83	0.2260141584
84	0.2235905853
85	0.2208272755
86	0.2182747497
87	0.2167134006
88	0.2144049477
89	0.212162937
90	0.2100751256
91	0.208066112
92	0.2063001504
93	0.2039173662
94	0.2013213639
95	0.1991374136
96	0.1967894076
97	0.1952697908
98	0.1935905442
99	0.1913480427
100	0.1897733869
101	0.1873596862
102	0.1852331793
103	0.183458618
104	0.1817112094
105	0.1800727958
106	0.1778913327
107	0.1766607747
108	0.1748205866
109	0.1730103091
110	0.171664943
111	0.1696651536
112	0.1685902466
113	0.1668557417
114	0.1656305871
115	0.1642088371
116	0.1625596165
117	0.1610527924
118	0.1594854257
119	0.1583178681
120	0.1571877017
121	0.1556399176
122	0.1544664914
123	0.1529364644
124	0.151573033
125	0.1501582741
126	0.1490084703
127	0.1479879663
128	0.1465253178
129	0.1451495905
130	0.1439448524
131	0.143057396
132	0.1414952905
133	0.1403421429
134	0.1391561945
135	0.1378713215
136	0.1366101656
137	0.1353581651
138	0.1342652489
139	0.1334000712
140	0.1322510533
141	0.1313700303
142	0.1303498278
143	0.1292230555
144	0.1281964785
145	0.1273304397
146	0.1259731348
147	0.1250837618
148	0.1241308927
149	0.1231475864
150	0.1222150387
151	0.1212807265
152	0.1203265074
153	0.1191241327
154	0.1180711042
155	0.1171523269
156	0.1162626595
157	0.1152474243
158	0.1142201371
159	0.1134912308
160	0.1125849211
161	0.1114591501
162	0.110755437
163	0.1098812177
164	0.1090951197
165	0.108124093
166	0.1075304658
167	0.107005146
168	0.1064276785
169	0.105863965
170	0.1049536472
171	0.1042277451
172	0.1032427158
173	0.1023250111
174	0.1014692594
175	0.1008124963
176	0.1001586141
177	0.09938678685
178	0.09887114939
179	0.09817302661
180	0.09756847751
181	0.09683072148
182	0.09621615384
183	0.09558642205
184	0.09508988836
185	0.09447359615
186	0.09384238683
187	0.09305178478
188	0.09241629606
189	0.09194622656
190	0.0915180128
191	0.09091464741
192	0.0903673079
193	0.08969040547
194	0.08901227305
195	0.08847195012
196	0.08781423775
197	0.08740810211
198	0.08694253397
199	0.08642333109
200	0.08605928069
201	0.08555311863
202	0.08517011203
203	0.08461906935
204	0.08408635772
205	0.08357251375
206	0.08318012646
207	0.08274592256
208	0.08218962463
209	0.08154529572
210	0.08112853956
211	0.08065786379
212	0.08018931989
213	0.07979581762
214	0.0792649346
215	0.07880986019
216	0.07836134454
217	0.07795553935
218	0.07761609129
219	0.07718041286
220	0.07677663292
221	0.07626082024
222	0.07605660767
223	0.07565032871
224	0.07510186688
225	0.07472892031
226	0.07420264983
227	0.07365244776
228	0.07333196098
229	0.07284929012
230	0.07245157057
231	0.07207496356
232	0.07161505195
233	0.07121445025
234	0.07082223085
235	0.07043321873
236	0.06996234834
237	0.06961352592
238	0.0692351619
239	0.06883124299
240	0.06846632076
241	0.06799653722
242	0.06763643219
243	0.06735228564
244	0.06680066329
245	0.06648839024
246	0.06606732487
247	0.06566746796
248	0.06533175377
249	0.06505702747
250	0.06468749746
251	0.06433806942
252	0.06398762792
253	0.06366503409
254	0.06324435604
255	0.06293323765
256	0.06263678928
257	0.06233123785
258	0.06193314327
259	0.06163900067
260	0.06130447033
261	0.06102601082
262	0.06069780998
263	0.0604002985
264	0.06004522201
265	0.05968828844
266	0.05935763273
267	0.05907715525
268	0.05886698678
269	0.05857130018
270	0.05819746483
271	0.05800003689
272	0.05776649334
273	0.05744259174
274	0.05715479251
275	0.05695138201
276	0.05664852982
277	0.05631099504
278	0.05601924417
279	0.0558281518
280	0.05553192214
281	0.0552548266
282	0.0549664361
283	0.05478253905
284	0.05449429142
285	0.05430253855
286	0.05404890904
287	0.0537741392
288	0.05355967448
289	0.05333225379
290	0.05309274477
291	0.05273345189
292	0.05252254142
293	0.05227060151
294	0.05201031271
295	0.05172873584
296	0.05146595706
297	0.05119316464
298	0.05090704833
299	0.05055338439
300	0.0503435336
301	0.05009187976
302	0.04988156787
303	0.04967786295
304	0.04946743325
305	0.04927829036
306	0.049028459
307	0.04880772453
308	0.04864336599
309	0.04846483328
310	0.04821996083
311	0.04798814587
312	0.04775224654
313	0.0475495769
314	0.04733968744
315	0.04720634051
316	0.04704279439
317	0.04689317033
318	0.0467511139
319	0.04648304485
320	0.04632340794
321	0.04621811245
322	0.0459738
323	0.04571646201
324	0.04540228534
325	0.0451734167
326	0.04494173221
327	0.04472806241
328	0.04457799331
329	0.04432292035
330	0.04407992288
331	0.04385045347
332	0.04364182062
333	0.04351084818
334	0.04328597287
335	0.04309568964
336	0.04292952095
337	0.04277004405
338	0.0426213868
339	0.04243005009
340	0.04228283063
341	0.04210169527
342	0.04190070155
343	0.04177878456
344	0.04158124798
345	0.0414140868
346	0.04125228673
347	0.04106740589
348	0.04083387454
349	0.04064028218
350	0.04045157243
351	0.04021805187
352	0.04011476326
353	0.03991753665
354	0.03971965619
355	0.0396155252
356	0.0394914359
357	0.03933874099
358	0.03922672047
359	0.03908538496
360	0.03894293609
361	0.03880068142
362	0.03866344599
363	0.03853821692
364	0.03836711887
365	0.03817780491
366	0.03801940138
367	0.03785856643
368	0.03772065121
369	0.03756312758
370	0.03745244329
371	0.0372840136
372	0.03714624827
373	0.03695290852
374	0.03683056115
375	0.03667424433
376	0.03651593693
377	0.0363288821
378	0.03621349084
379	0.03606353716
380	0.03597719611
381	0.03586915806
382	0.03576247883
383	0.03565202165
384	0.03554357793
385	0.03538723578
386	0.03523571503
387	0.03509424633
388	0.03499104154
389	0.03491168623
390	0.03485927099
391	0.03472086256
392	0.03456600515
393	0.03446098476
394	0.03434228415
395	0.03420772288
396	0.03411228241
397	0.03399544606
398	0.03386486183
399	0.03374260826
400	0.03364700347
401	0.03356163588
402	0.0333995549
403	0.03329879598
404	0.0331665458
405	0.03307577384
406	0.03296630999
407	0.03287915348
408	0.0328176385
409	0.03264067113
410	0.03252930316
411	0.03239536928
412	0.03222890176
413	0.0320980018
414	0.03197783841
415	0.0318488108
416	0.03175809392
417	0.03161010901
418	0.031506892
419	0.03140344671
420	0.03132414319
421	0.0311917796
422	0.03111144232
423	0.03100221646
424	0.03094252188
425	0.03083089981
426	0.03073715681
427	0.03063978453
428	0.03049999325
429	0.03039502818
430	0.03027584801
431	0.0302290246
432	0.0301471654
433	0.0300458145
434	0.0299899399
435	0.02991033107
436	0.02976453121
437	0.02968080024
438	0.02959995527
439	0.029480476
440	0.02936210223
441	0.02926587307
442	0.02919363206
443	0.02909769525
444	0.02902121579
445	0.02889517172
446	0.02879527827
447	0.0286753221
448	0.02861065222
449	0.02851133102
450	0.02840020359
451	0.02828245327
452	0.02818563242
453	0.02812320171
454	0.02805906752
455	0.02797137387
456	0.02787092384
457	0.0278017837
458	0.02767834422
459	0.0276002954
460	0.02747866557
461	0.02742379461
462	0.02731758424
463	0.02726346875
464	0.02718266824
465	0.02711349957
466	0.02705405833
467	0.0269776425
468	0.02689405408
469	0.02681266502
470	0.02673980695
471	0.02663535638
472	0.02657995015
473	0.02650608132
474	0.02647047251
475	0.0263809724
476	0.02629700649
477	0.02621705937
478	0.02613165307
479	0.0260682322
480	0.02602430024
481	0.02592458787
482	0.02585168457
483	0.02572812883
484	0.02563846314
485	0.02556006047
486	0.02549389705
487	0.02540723815
488	0.02533339789
489	0.02524890153
490	0.02514991638
491	0.02506265134
492	0.024980713
493	0.02491332058
494	0.02484068485
495	0.02477936348
496	0.024674325
497	0.02457350771
498	0.02450872052
499	0.02443025947
500	0.02436570353
501	0.0242909211
502	0.02425930587
503	0.02417675553
504	0.02411273434
505	0.02404114987
506	0.02398930899
507	0.02389786497
508	0.02380588958
509	0.02371561806
510	0.02364965748
511	0.02358239016
512	0.02349269741
513	0.02343260025
514	0.02334649842
515	0.02329424883
516	0.02322983419
517	0.02315564099
518	0.02308625292
519	0.02299959584
520	0.02293100471
521	0.02287152437
522	0.02280937329
523	0.02273486594
524	0.02264949803
525	0.02260009391
526	0.0225020967
527	0.02245400556
528	0.02239294044
